Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption
History,PYQ mix,निम्नलिखित में से कौन विभिन्न राशियों की आकृति से युक्त सिक्के चलाये थे-,शाहजहाँ,अकबर,जहांगीर,औरंगजेब,जहांगीर
History,PYQ mix,कौन-सा युग्म सही नहीं है-,पीट्रा दुरा (पच्चीकारी) का प्रथम बार प्रयोग - एतमाद्-उद्-दौला,इस्लामी शैली का प्रथम मबकरा - बलबन का मकबरा,गुम्बद का प्रथम बार प्रयोग - कुअत - उल-इस्लाम,दक्षिण का ताजमहलं का मकबरा - बीबी का मकबरा,गुम्बद का प्रथम बार प्रयोग - कुअत - उल-इस्लाम
History,PYQ mix,निम्नलिखित में से कौनसा फतेहपुर सीकरी में स्थित नहीं है-,बुलन्द दरवाजा,पंच महल,सलीम चिश्ती की दरगाह,अकबर का मकबरा,अकबर का मकबरा
History,PYQ mix,निम्न में से किस इमारत को राजा मानसिंह ने नहीं बनवाया था-,"गोविन्द देव मन्दिर, वृंदावन","जगत शिरोमणि मन्दिर, आमेर","रोहतास का किला, बिहार","जल महल, नारनौल","जल महल, नारनौल"
History,PYQ mix,निम्नलिखित में से किस किले का निर्माण अकबर द्वारा नहीं कराया गया था-,आगरा का किला,लाहौर का किला,इलाहाबाद का किला,दिल्ली का किला,दिल्ली का किला
History,PYQ mix,शेरशाह प्रारम्भिक जीवन में 'अतालीक' नियुक्त हुआ-,बहार खां के अधीन,जलाल खां के अधीन,जमाल खां के अधीन,ताज खां के अधीन,जलाल खां के अधीन
History,PYQ mix,औरंगजेब के शासनकाल में चांदी के रुपया का वजन था-,176 ट्रॉय (ग्रेन),178 ट्रॉय,180 ट्रॉय,182 ट्रॉय,180 ट्रॉय
History,PYQ mix,निम्नलिखित में से किस इमारत का निर्माण औरंगजेब ने नहीं करवाया था-,औरंगाबाद में स्वयं का मकबरा,रबिया-उद्-दुर्रानी का मबकरा,मुसम्मन बुर्ज,बादशाही मस्जिद (लाहौर),मुसम्मन बुर्ज
History,PYQ mix,"मुगल राजनीति में जिन सैय्यद बंधुओं का उल्लेख मिलता है, वे हैं-",हुसैन अली एवं अब्दुल्ला खां,हुसैन खां एवं मुहम्मद खां,अब्दुल्ला खां एवं मुहम्मद खां,हुसैन खां एवं अहमदुल्ला,हुसैन अली एवं अब्दुल्ला खां
History,PYQ mix,कौनसा इतिहासकार कहता है कि कला-इतिहासकारों ने फतेहपुर सीकरी के राजमहल समूह को गलती से नगर-समूह का नाम दिया है-,जदुनाथ सरकार,मुहम्मद हबीब,सतीश चन्द,एस.के. सरस्वती,सतीश चन्द
History,PYQ mix,निम्नलिखित में से कौन-सा मुगल चित्रकार व्यंग्य चित्रकार था-,बसावन,मनोहार,मिस्किन,अबुल हसन,मिस्किन
History,PYQ mix,दिल्ली स्थित जामा मस्जिद की नींव किसने रखी-,सम्राट शाहजहाँ,महाबत खान,इस्लाम खान,सम्राट औरंगजेव,सम्राट शाहजहाँ
History,PYQ mix,अबुल फजल के अनुसार कौनसा चित्रकार आकृति अंकन में दक्ष था-,अब्दुल समद,दसवंत,मीर सैयद अली,बसावन,बसावन
History,PYQ mix,कौनसी इमारत 'दूसरे ताजमहल' के नाम से प्रसिद्ध है-,रबिया-उद-दुरानी मकबरा,शेरशाह का मकबरा,नूरजहां का मकबरा,जहांगीर का मकबरा,रबिया-उद-दुरानी मकबरा
History,PYQ mix,मुगल वास्तुकला निम्नलिखित में से किन शैलियों का सम्मेलन (समन्वय) है-,इस्लामी-गांधार-तुकी-अरवी,इस्लामी-गोथिक भारतीय-सीरियाई,शर्की-इस्लामी-अरबी-वैराक,इस्लामी-फारसी-तुर्की-हिन्दू,इस्लामी-फारसी-तुर्की-हिन्दू
History,PYQ mix,चित्रकला के संबंध में निम्नलिखित में से कौन-सा एक कथन सही नहीं है-,मुगल सम्राट हुमायूँ 1555 में ईरान से प्रमुख चित्रकारों अब्दुस समद और मीर सैयद अली को लाया।,अकबर ने एक विशाल चित्रशाला की स्थापना की जिसमें 1560 के दशक में हमजानामा को चित्रित किया गया।,जहाँगीर के कला में चित्रकला में यूरोप के प्रभाव को अस्वीकार किया गया।,"18वीं शताब्दी में,विशेषकर कृष्ण लीलाओं को प्रदर्शित करने वाली क्षेत्रीय चित्रकलाएं अस्तित्व में आयी।",जहाँगीर के कला में चित्रकला में यूरोप के प्रभाव को अस्वीकार किया गया।
History,PYQ mix,मुगल बैलस्टर स्तंभों (baluster columns) के -एकमात्र अवशेष के उदाहरण निम्नलिखित में से किस मुगल बादशाह के किला-महलों में मिलते हैं-,अकबर,जहांगीर,शाहजहां,औरंगजेब,शाहजहां
History,PYQ mix,निम्न में से कौनसा मुगल वास्तुकला में दोहरे गुम्बद का सबसे प्रारम्भिक उदाहरण माना जाता है-,"हुमायूं का मकबरा, दिल्ली","जामा मस्जिद, दिल्ली","एत्मादुद्दौला का मकबरा, आगरा","मोती मस्जिद, आगरा","हुमायूं का मकबरा, दिल्ली"
History,PYQ mix,निम्नलिखित में से किसको 'दोहरे गुम्बद' का प्राचीनतम उदाहरण माना जाता है-,"हुमायूं का मकबरा, दिल्ली","जामा मस्जिद, फतेहपुर सीकरी","एत्मादुदौला का मकबरा, आगरा","मोती मस्जिद, आगरा","हुमायूं का मकबरा, दिल्ली"
History,PYQ mix,"जब शाहजादा मुहम्मद कामबख्श ने उसका दायां हाथ काटने का आदेश दिया, तो सैफ खान ने कहा, 'यह नीच आचरण है, जो तुमने अपनी मां से पाया है। यह हाथ जिसे तुमने बिना किसी कसूर के कटवा दिया, इसी ने तुम्हें तीरंदाजी सिखाई थी।' उस मां की पहचान करें-",उदयपुरी बेगम,नवाब बाई,दिलरस बानो,नादिरा बेगम,उदयपुरी बेगम
History,PYQ mix,मुगलों के प्रसिद्ध गोलाकार गुंबदों के पूर्वगामी को वास्तुशिल्प की किस शैली के रूप में पहचाना जाता है-,बीदर,गुलबर्गा,गोलकुंडा,मांडू,बीदर
History,PYQ mix,चित्रकला की किस शैली को निहालचंद ने समृद्ध किया-,बूंदी,गुलेर,किशनगढ़,कोटा,किशनगढ़
History,PYQ mix,निम्नलिखित में से कौन सा स्मारक तुगलक-कालीन ढलावदार दीवार तकनीक के प्रयोग का अंतिम उदाहरण है-,हसन खान का मकबरा,ईसा खान का मकबरा,अधम खान का मकबरा,शेरशाह का मकबरा,ईसा खान का मकबरा
History,PYQ mix,निम्नलिखित में से कौनसा स्मारक पिएत्रा ड्यूरा कार्य के लिये प्रसिद्ध है-,कुतुब मीनार,ताजमहल,जहाँगीरी महल,हिण्डोला महल,ताजमहल
History,PYQ mix,एतमादुद्दौला का मकबरा बनवाया गया था-,अकबर के समय,बाबर के समय,हुमायूं के समय,जहाँगीर के समय,जहाँगीर के समय
History,PYQ mix,निम्नलिखित किस व्यक्ति का मकबरा भारत के बाहर स्थित है-,हुमायूं,जहांदरशाह,जहांगीर,औरंगजेब,जहांगीर
History,PYQ mix,"बीरबल भवन, तानसेन की बारादरी और खाने खाना का आवास स्थित है-",फतेहपुर सीकरी,आगरा,दिल्ली,लाहौर,फतेहपुर सीकरी
History,PYQ mix,निम्नलिखित में से कौन सही सुमेलित है-,बाबर -सिकंदरा,अकबर - खुसरोबाग,जहांगीर - चारबाग,औरंगजेब - खुल्दाबाद,औरंगजेब - खुल्दाबाद
History,PYQ mix,मकबरे की स्थापत्य कला में चारबाग व्यवस्था का भारत में सर्वप्रथम किसके मकबरे में प्रयोग मिलता है-,गियासुद्दीन तुगलक,शाहजहाँ,शेरशाह,हुमायूँ,हुमायूँ
History,PYQ mix,अकबर का चिश्ती सन्तों के प्रति गहरा सम्मान था और वह अजमेर में शेख मुइनुद्दीन चिश्ती की दरगाह पर हर वर्ष यात्रा पर जाता था। निम्न में से किस वर्ष से उसने प्रतिवर्ष अजमेर दरगाह की तीर्थयात्रा पर पैदल जाना बन्द किया-,1577,1579,1578,1580,1579
History,PYQ mix,"ताजमहल के निर्माण में राजस्थान से जो सामग्री भेजी गयी, वह स्थान था-",बयाना,मकराना,धौलपुर,जैसलमेर,मकराना
History,PYQ mix,निम्नलिखित में से किस स्थान पर मोती मस्जिद स्थित है-,लाल किले में,आगरा के किले में,फतेहपुर सिकरी में,बदायूं में,आगरा के किले में
History,PYQ mix,निम्नलिखित इमारतों में से कौनःसी इमारत 'शाने फतेहपुर' कही जाती है-,बुलंद दरवाजा,तुर्की सुल्ताना का महल,जामा मस्जिद,शहजादी अम्बर का महल,जामा मस्जिद
History,PYQ mix,औरंगजेब द्वारा सफेद संगमरमर में बनायी मस्जिद का नाम है-,दिल्ली की जामा मस्जिद,लाल किले की मोती मस्जिद,लाहौर की जामा मस्जिद,औरंगाबाद की बीबी का मकबरा,लाल किले की मोती मस्जिद
History,PYQ mix,"अतगा खान के मकबरे, जिसे उसके पुत्र मिर्जा अजीज कोका ने 1566-167 में बनवाया था, से संबद्ध वास्तुविद और सुलेखकार (खुशनवीस) को युग्म को चिन्हित कीजिए-",उस्ताद खुदा कुली और बाकी मुहम्मद।,मीरक सैयद गियास और मीरक मिर्जा गियास।,अहमद-अल-चिश्ती और रियाज बुखारी।,उस्ताद बिलाल और उस्तात कयामत हुसैन,उस्ताद खुदा कुली और बाकी मुहम्मद।
History,PYQ mix,"शाहजहाँ ने अपनी ज्येष्ठ पुत्री जहाँआरा के सम्मान में एक मस्जिद का निर्माण करवाया था, वह मस्जिद कहाँ स्थित है-",दिल्ली,आगरा,लाहौर,बुरहानपुर,आगरा
History,PYQ mix,"निम्नलिखित में से किस इतिहासकार के अनुसार 1592 में अकबर के साम्राज्य में लगभग 120 नगर और 3,200 कस्बे थे-",निजामुद्दीन अहमद,बदायूंनी,अबुल फजल,फैज़ी,निजामुद्दीन अहमद
History,PYQ mix,निम्नलिखित में से किस भारतीय स्मारक के परिसर में चार बाग अर्थात् चार वर्गाकार बगीचा है-,"अटाला मस्जिद, जौनपुर","जामा मस्जिद, कैम्बे","शेरशाह का मकबरा, सासाराम","हुमायूँ का मकबरा, दिल्ली","हुमायूँ का मकबरा, दिल्ली"
History,PYQ mix,मुगलकालीन वास्तुकला के बारे में किसने कहा कि मुगल काल भारतीय वास्तुकला का ग्रीष्मकाल है जो प्रकाश और उर्वरा का प्रतीक माना जाता जाता है-,स्मिथ,पर्सी ब्राउन,एलफिंस्टन,मार्शल,पर्सी ब्राउन
History,PYQ mix,सल्तनत चित्रकला को किस शैली ने मुगल शैली की चित्रकला की स्थापना के लिए मार्ग प्रशस्त किया है-,"चौरपंचाशिक, लौर चंदा और इण्डो-पर्शियन","पाल, कश्मीरी और लौर चंदा","चौरपंचाशिक, कश्मीरी और इण्डो-पर्शियन","इण्डो-पर्शियन, पाल और कश्मीरी","चौरपंचाशिक, लौर चंदा और इण्डो-पर्शियन"
History,PYQ mix,निम्नलिखित में से किन पूर्व शासकों से दिल जीतने के लिए एम्पाओं को भू-अनुदान दिए गए-,मेवाती,राजपूत,गुजरात के सुल्तान,अफगान,अफगान
History,PYQ mix,फतेहपुर सीकरी के भवनों में निर्माण के क्रम में अंतिम संरचना कौन सी है-,इबादतखाना,बीरबल का महल,चहार सुक,चहार सुक,चहार सुक
History,PYQ mix,अकबर द्वारा कौनसा भवन फतेहपुर सीकरी में निर्मित नहीं है-,दीवाने-आम,पंचमहल,दीवाने-खास,शीशमहल,शीशमहल
History,PYQ mix,"अकबर कालीन इमारत्त जिसके खम्बों पर विभिन्न धमों व सम्प्रदायों के निशान उभरे हुए हैं, वह है-",फतेहपुर सीकरी का पंच महल,अन्नासागर की बिरादरी,सिकन्दरा में अकबर का मकबरा,दिल्ली में हुमायूं का मकबरा,फतेहपुर सीकरी का पंच महल
History,PYQ mix,निम्नलिखित में से कौन-सी आगरा के किले में निर्मित पहली सफेद संगमरमर की इमारत है-,मोती मस्जिद,दीवाने आम,दीवाने खास,नगीना मस्जिद,दीवाने आम
History,PYQ mix,पीट्रा ड्यूरा नामक सजावट की विधि मुगल इमारतों में निम्नलिखित शासकों में से किसके शासनकाल के दौरान इस्तेमाल की जाने लगी-,हुमायूँ,जहाँगीर,शाहजहाँ,अकबर,जहाँगीर
History,PYQ mix,मुगल बादशाहों में चित्रकारी में कौन दिलचस्पी रखता था-,शाहजहां,जहांगीर,अकबर,औरंगजेब,जहांगीर
History,PYQ mix,किसका कथन है की 'बीस हजार लोगों ने ताजमहल के निर्माण के लिए अनवरत कार्य किया'-,मनूची,ट्रेवर्नियर,अब्दुल हमीद लाहौरी,शाहनवाज खान,ट्रेवर्नियर
History,PYQ mix,निम्नलिखित में से कौनसा कथन सही नहीं है-,फतेहपुर सीकरी मेहराबदार और धरणी-स्तम्भदार शैलियों का कौशलपूर्ण सम्मिश्रण है।,आगरा के किले और फतेहपुर सीकरी शहर के निर्माण में लाल बलुआ पत्थर प्रमुख सामग्री थी।,फतेहपुर सीकरी की योजना अकबर की धार्मिक नीतियों के अंतिम प्रारूप के बाद बनी थी।,अकबर का अपना स्वयं का मकबरा सिकंदरा में उसके बेटे जहांगीर द्वारा बनवाया गया।,फतेहपुर सीकरी की योजना अकबर की धार्मिक नीतियों के अंतिम प्रारूप के बाद बनी थी।
History,PYQ mix,"अकबर ने निम्नलिखित में से किसे आगरा के किले के निर्माण का अधीक्षक नियुक्त किया था, जिसकी ख्याति सैन्य अभियंता के साथ-साथ एक भवन निर्माता की भी थी-",कासिम खान,बहाउ\u200cद्दीन,सादुल्ला खान,फाजिल खान,कासिम खान
History,PYQ mix,कौनसा स्मारक फतेहपुर सीकरी में नहीं है-,स्वर्ण महल,पंच महल,जोधाबाई का महल,अकबरी महल,अकबरी महल
History,PYQ mix,शाहजहाँ अपने अमीरों द्वारा वास्तुकला संबंधी संरक्षण देने के लिए उनको पुरस्कृत करता था। कश्मीर में एक भव्य उद्यान के निर्माण के अलावा उपद्रवी जनता के साथ उसके कूटनीतिक व्यवहार के लिए किस अमीर को पदोन्नत किया गया था-,जैन खान,काहिद खान,जकरिया खान,जफर खान,जफर खान
History,PYQ mix,किसके शासनकाल को 'स्थापत्य कला का स्वर्णकाल' कहा जाता है-,अकबर,जहांगीर,शाहजहां,औरंगजेब,शाहजहां
History,PYQ mix,निम्नलिखित मुगल शासकों में से किसने यह दावा किया था कि वह यह अंतर कर सकता है कि किस चित्रकार ने रेखाचित्र बनाया और किसने उसमें रंग भरा है या उसका चेहरा तैयार किया-,हमायूँ,अकबर,जहाँगीर,औरंगज़ेब,जहाँगीर
History,PYQ mix,"उसके परदादा ने बहुत सारे पशुओं, पौधों और लोगों के बारे में लिखा था, लेकिन 'अपने चित्रकारों को उनकी तस्वीरें बनाने का आदेश नहीं दिया था।' इस शाही परदादा- प्रपौत्र की जोड़ी को चिन्हित करें -",बाबर - जहांगीर,हुमायूँ - शाहजहाँ,अकबर - औरंगजेब,जहाँगीर - बहादुर शाह - प्रथम,बाबर - जहांगीर
History,PYQ mix,किस स्मारक को 'दक्कन का ताजमहल' कहा जाता है-,बीबी का मकबरा,मोती मस्जिद,बागी मस्जिद,उपर्युक्त में से कोई नहीं,बीबी का मकबरा
History,PYQ mix,किसके शासनकाल में पोट्रेट चित्रकला का अत्यधिक विकास हुआ-,अकबर,जहांगीर,शाहजहां,बहादुरशाह,शाहजहां
History,PYQ mix,भारत के मुस्लिम वास्तुकला में नौ नोकदार मेहराबों का प्रयोग पहली बार कब किया गया था-,सिकन्दर लोदी के भवनों में,शेरशाह के भवनों में,नूरजहां के भवनों में,शाहजहां के भवनों में शाहजहां के भवनों में,शाहजहां के भवनों में शाहजहां के भवनों में
History,PYQ mix,1929 की भयंकर आर्थिक मंदी के कारण ब्रिटिश सरकार ने अपनी खराब वित्तीय स्थिति को सुधारने के लिए' कपास संरक्षण अधिनियम / क़ानून पारित किया-,1929,1930,1933,1932,1930
History,PYQ mix,ग्रेट ब्रिटेन और चीन के किंग राजवंश के बीच 'नानकिंग की संधि हस्ताक्षर की गई-,29 अगस्त 1847,29 अगस्त 1842,अगस्त 1838,29 अगस्त 1835,29 अगस्त 1842
History,PYQ mix,भारत का पहला लौह-इस्पात उद्योग था-,बाराकर आयरन वर्क्स,टाटा आयरन एण्ड स्टील कम्पनी,बर्न एण्ड कम्पनी,मैसूर स्टेट आयरन वर्क्स,बाराकर आयरन वर्क्स
History,PYQ mix,1833 के पश्चात ब्रिटेन के लिए भारतीय धन निकासी का एकल सर्वाधिक स्रोत था-,अफीम का निर्यात,नील का निर्यात,भारत में ब्रिटिश पूंजी निवेश,कपास का निर्यात,भारत में ब्रिटिश पूंजी निवेश
History,PYQ mix,सर थॉमस बर्टनसन समिति की सलाह पर कर्जन द्वारा रेलवे बोर्ड का गठन किया गया-,1900,1901,1902,1905,1905
History,PYQ mix,निम्न में से किस गवर्नर जनरल ने चाय समिति (टी कमेटी) का प्रस्ताव रखा था—,ऑकलैंड,बेंटिक,एलनबरो,लार्ड होर्डिंग,बेंटिक
History,PYQ mix,रजनी पाम दत्त के अनुसार माहलवाड़ी बंदोबस्त व्यवस्था भारत के कितने भू-भाग क्षेत्र पर लागू की गई थी-,19%,30%,51%,77%,30%
History,PYQ mix,कार्नवालिस ने वर्ष 1793 में किस स्थान पर स्थायी बंदोबस्त की शुरुआत की थी-,बंगाल और बिहार,"बंगाल, बिहार और उड़ीसा",बंगाल और मद्रास,बंगाल और बंबई,"बंगाल, बिहार और उड़ीसा"
History,PYQ mix,रजनी पाम दत्त के अनुसार स्थायी बंदोबस्त व्यवस्था भारत के कितने भू-भाग क्षेत्र पर लागू की गई थी-,19%,50%,51%,30,19%
History,PYQ mix,औपनिवेशिक काल के दौरान किस भारतीय ने 'भारत की आवश्यकताए और साधन तथा' ब्रिटिश शासन के लाभ' नामक लेख लिखे-,अम्बेडकर,बाल गंगाधर तिलक,एम. जी रानडे,दादाभाई नौरोजी,दादाभाई नौरोजी
History,PYQ mix,ब्रिटिश ईस्ट इंडिया कंपनी का चीन के साथ अधिकांशत: ______ के विनिमय का था—,मसाले,चाँदी,कागज,रेशम,चाँदी
History,PYQ mix,एसोसिएट चैंबर्स ऑफ़ कॉमर्स संगठन की स्थापना कब की गई थी—,1919,1924,1921,1926,1921
History,PYQ mix,Modern Cambridge economics: economic of the underdevelopment' पुस्तक के लेखक हैं-,अनीला चर्गिस,मोरिस डी मोरिस,अमिया बागची,जे. कृष्णमूर्ति और मारिक विकजियानी,अमिया बागची
History,PYQ mix,निम्नलिखित में से किसने मई 1867 में एक शोधपत्र 'इंग्लैण्ड 'स ड्यूटीज टू इंडिया' प्रस्तुत किया और वह धन निकासी के पहले मान्यताप्राप्त सिद्धांतकार थे-,आर. सी. दत्त,एम. जी. रानाडे,के. कीर हार्डी,दादाभाई नौरोजी,दादाभाई नौरोजी
History,PYQ mix,निम्नलिखित घटकों में से कौन सा दादाभाई नौरोजी द्वारा प्रतिपादित 'धन-निष्क्रमण' सिद्धान्त का हिस्सा नहीं था-,घरेलू देनदारी (होम चार्जेज),अप्रतिदत्त निर्यात,रेल कंपनियों को दिया गया गारंटी ब्याज,वि-उद्योगीकरण,वि-उद्योगीकरण
History,PYQ mix,पंजबा टेनेन्सी एक्ट कब लागू हुआ-,1835 ई.,1902 ई.,1891 ई.,1903 ई.,1902 ई.
History,PYQ mix,"जब भारत में 1853 में रेल लाइनें बिछाने की शुरुआत की जा रही थी, तो निम्नलिखित में से किसने टिप्पणी की थी यह आधुनिक उद्योग का वास्तविक अग्रधावक है""-",आर. पी. दत्त,दादाभाई नौरोजी,कार्ल मार्क्स,वी. आई. लेनिन,कार्ल मार्क्स
History,PYQ mix,भारत के अनेक व्यक्तियों में से तीन भारतीयों ने 1870-1905 के दौरान ब्रिटिश राज्य का ज्वलंत विश्लेषण किया। वह कौन थे-,"नौरोजी, रानाडे, आर. सी. दत्त","आर. सी. दत्त, तिलक, नेहरू","रानाडे, गोखले, आर. सी. दत्त","नौरोजी, तैयबजी, गोखले","नौरोजी, रानाडे, आर. सी. दत्त"
History,PYQ mix,रीड ने कब रैयतवाड़ी प्रयोग प्रारंभ किया—,1791,1792,1793,1790,1792
History,PYQ mix,इंडियन नेशनल कांग्रेस ने कई वर्ष के संकोच के बाद निम्नलिखित में से किस वर्ष धन निकासी के सिद्धांत को आधिकारिक रूप से स्वीकार कर लिया और यह घोषणा की कि भारत में अकाल और महागरीबी धन की निकासी द्वारा लाई गई हैं-,1894),1896,1904,1916,1896
History,PYQ mix,लार्ड कर्जन द्वारा रेलवे कमीशन नियुक्त किया गया-,1901 ई. में,1902 ई. में,1903 ई. में,1904 ई. में,1901 ई. में
History,PYQ mix,इंपीरियल लेजिस्लेटिव कौंसिल द्वारा कब आधिकारिक तौर पर बंधुआ मजदूरी को भारत में प्रतिबंधित कर दिया गया—,1916,1914,1917,1922,1917
History,PYQ mix,""" महालवाड़ी प्रणाली "" से अभिप्राय हैं—",बड़े सामंतों को आवंटित भूमि,उप किरायी देने गिरवी रखने हस्तांतरण करने उपहार देने विक्रय करने के अधिकार सहित हर किसान को बंटी भूमि,मालगुजारी के इजारेदारों अथवा तहसीलदारों को आवंटित भूमि,ग्राम्य स्तर पर की गई भराजस्व बंदोबस्ती,ग्राम्य स्तर पर की गई भराजस्व बंदोबस्ती
History,PYQ mix,निम्नलिखित में से कौन आर्थिक राष्ट्रवाद से संबंधित नहीं था-,आर. सी. दत्त,जी. वी. जोशी,एनी बेसेंट,दादाभाई नौरोजी,एनी बेसेंट
History,PYQ mix,______आधुनिक लेखक है/हैं जिन्होंने ब्रिटिश भारत में वि-उद्योगीकरण पर लिखा-,जे. कृष्णमूर्ति और मारिका विकजियानी,आमीया बागची,अ और ब दोनों,उपरोक्त में से कोई नहीं,अ और ब दोनों
History,PYQ mix,भारत से इंग्लैंड के लिए धन का निष्कासन किसके बाद आरम्भ हुआ-,स्थायी बन्दोबस्त के बाद,दीवानी प्राप्त करने के बाद,मीर कासिम को हटाने के बाद,मैसूर विजय के बाद,दीवानी प्राप्त करने के बाद
History,PYQ mix,वाणिज्य के इतिहास में उनकी दुर्दशा के बराबर कोई मिसाल नहीं मिलती। भारत में सूती कपड़ा बुनकरों की हड्डियां भारत के मैदानों का रंग सफेद बना रही हैं।' ब्रिटिश भारतीय बुनकरों की स्थिति के बारे में यह कथन किसने दिया था-,एडमंड बर्क,अल्फ्रेड लॉयल,कॉर्नवालिस,विलियम बेंटिक,विलियम बेंटिक
History,PYQ mix,ब्रिटिश शासन के दोरान आधुनिक उद्योगों के उदय से भारत में पारसी और मारवाड़ी परिवारों का भी उदय हुआ। निम्नलिखित में से किस मारवाड़ी परिवार ने ब्रिटिंमा फर्म रेलीस के साथ गठजोड़ किया-,जाटिया,झुनझुनवाला,गोयनका,ताराचंद घनश्यामदास,गोयनका
History,PYQ mix,ब्रिटिश ईस्ट इंडिया कंपनी ने किस वर्ष पहली बार चीन से व्यापार करने के लिए संपर्क स्थापित किया—,1699,1700,1701,1704,1701
History,PYQ mix,1897 में वेल्बी आयोग के समक्ष धन निष्कासन हेतु गवाही पेश करने के लिए लंदन जाने वाले निम्न सदस्यों में कौन सा सदस्य सम्मिलित नहीं था-,गोपाल कृष्ण गोखले,दिनसा वाचा,महागोविंद रानाडे,सुब्रमण्यम अय्यर,महागोविंद रानाडे
History,PYQ mix,दादाभाई नौरोजी द्वारा प्रचारित धन-निष्क्रमण सिद्धान्त का मूल तत्त्व किसमें निहित है-,शासक जाति के व्यापारियों द्वारा व्यापारिक गतिविधियों का दुरुपयोग।,रियासती राजाओं से अनुचित तरीके से प्राप्त धन और उसे इंग्लैण्ड भेजना,भारत से एक तरफा निर्यात।,ब्रिटिश उत्पादित वस्तुओं से भारतीय बाजार भर देना।,भारत से एक तरफा निर्यात।
History,PYQ mix,रैयतवाड़ी का प्रयोग 1792 में किसके द्वारा बहरामहल में किया गया था-,थॉमस मुनरो,एरिक स्ट्रोक,सर जॉन मैलकम,रीड,रीड
History,PYQ mix,मद्रास यातना आयोग कब गठित किया गया —,1852,1854,1855,1856,1854
History,PYQ mix,किसने कहा था कि 'ब्रिटिश शासन भारत का रक्त बहाने वाला नाला था'-,दादाभाई नौरोजी,एम. जी. रानाडे,आर. सी. दत्त,बाल गंगाधर तिलक,दादाभाई नौरोजी
History,PYQ mix,आधुनिक तकनीक पर आधारित कागज उद्योग से सम्बन्धित प्रथम कागज उत्पादक मिल की स्थापना कलकत्ता के निकट हुगली नदी के तट पर बैली या बाली नामक स्थान पर की गयी थी—,1870,1872,1867,1869,1870
History,PYQ mix,"निम्न में किसके द्वारा "" ओपन लेटेस्ट तो लॉर्ड कर्जन का पेमेंट फेमाइंस एंड लैंड एसेसमेंट इन इंडिया \' (1900) किसके द्वारा लिखा गया था—",रमेशचंद्र मजूमदार,रमेशचंद्र दत्त,रजनीपाम दत्त,दादाभाई नौरोजी,रमेशचंद्र दत्त
History,PYQ mix,थॉमस मुनरो से सत्तांतरित जिलों के भूमि राजस्व का प्रभार ग्रहण करने को कहा गया था—,1818,1820,1822,1824,1820
